indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.505,0.019,0.128,0.195,0.196,0.05,0.042,51.814,-4.092
0.506,0.033,0.114,0.17,0.208,0.038,0.029,51.434,-2.618
0.508,0.078,0.11,0.221,0.173,0.032,0.047,53.72,-1.574
0.511,0.397,0.114,0.079,0.193,0.092,0.057,51.42,-0.145
0.515,0.258,0.159,0.192,0.178,0.066,0.055,52.458,-2.008
0.5,0.342,0.049,0.036,0.279,0.029,0.049,51.981,-0.742
0.535,0.034,0.099,0.26,0.162,0.031,0.043,51.389,-2.828
0.517,0.039,0.16,0.133,0.219,0.062,0.067,53.408,-2.793
0.5,0.129,0.065,0.172,0.162,0.031,0.036,51.406,-0.723
0.513,0.027,0.221,0.316,0.136,0.099,0.038,53.774,-0.421
0.511,0.033,0.154,0.193,0.185,0.065,0.034,54.672,-3.346
0.528,0.254,0.174,0.177,0.179,0.059,0.044,51.546,0.195
0.53,0.018,0.196,0.263,0.165,0.078,0.031,53.563,-0.55
0.513,0.477,0.168,0.085,0.238,0.101,0.088,51.55,0.139
0.503,0.221,0.078,0.138,0.154,0.067,0.078,51.496,-3.163
0.485,0.182,0.052,0.06,0.041,0.035,0.218,53.393,-2.985
0.509,0.035,0.204,0.196,0.172,0.082,0.037,53.782,-0.281
0.511,0.011,0.174,0.206,0.212,0.074,0.03,54.672,-3.526
0.525,0.166,0.179,0.111,0.22,0.07,0.049,52.583,-1.128
0.507,0.124,0.061,0.193,0.206,0.03,0.042,51.424,-0.856
0.522,0.018,0.169,0.347,0.16,0.061,0.033,51.917,-2.566
0.546,0.565,0.174,0.083,0.18,0.118,0.093,51.538,-0.026
0.492,0.723,0.194,0.117,0.23,0.169,0.091,51.515,-0.051
0.514,0.062,0.201,0.372,0.142,0.053,0.03,52.49,-1.422
0.506,0.071,0.06,0.314,0.16,0.036,0.055,51.326,-0.514
0.554,0.51,0.098,0.115,0.203,0.072,0.065,51.42,-0.094
0.486,0.486,0.128,0.142,0.185,0.064,0.069,51.459,-0.362
0.48,0.086,0.155,0.23,0.151,0.051,0.033,53.744,-1.621
0.507,0.221,0.072,0.164,0.206,0.036,0.051,51.434,-0.872
0.518,0.021,0.303,0.238,0.176,0.108,0.044,53.789,-0.304
0.525,0.051,0.126,0.2,0.14,0.058,0.051,53.334,-2.665
0.542,0.037,0.245,0.341,0.099,0.129,0.041,53.407,-2.843
0.53,0.083,0.067,0.283,0.141,0.046,0.06,51.517,-3.256
0.498,0.298,0.138,0.114,0.195,0.055,0.133,53.014,-2.2
0.507,0.556,0.17,0.17,0.209,0.106,0.087,53.434,-2.205
0.517,0.019,0.125,0.199,0.179,0.054,0.039,53.363,-1.234
0.546,0.408,0.093,0.065,0.095,0.054,0.286,51.505,-0.098
0.513,0.468,0.07,0.113,0.06,0.058,0.346,51.528,-0.126
0.482,0.062,0.055,0.169,0.159,0.029,0.04,51.107,-1.316
0.502,0.082,0.144,0.255,0.142,0.044,0.039,52.445,-2.048
0.496,0.05,0.147,0.18,0.187,0.052,0.039,50.842,-1.196
0.503,0.005,0.189,0.342,0.11,0.076,0.029,54.953,-1.733
0.499,0.051,0.222,0.162,0.173,0.095,0.043,50.471,-4.727
0.517,0.019,0.255,0.159,0.2,0.09,0.055,53.465,-1.349
0.532,0.059,0.225,0.148,0.208,0.067,0.036,52.719,-1.369
0.516,0.027,0.114,0.375,0.147,0.069,0.039,53.569,-3.087
0.507,0.048,0.106,0.241,0.151,0.033,0.039,52.109,0.027
0.449,0.277,0.06,0.035,0.072,0.046,0.057,51.479,-0.114
0.518,0.449,0.199,0.155,0.233,0.084,0.075,51.542,0.176
0.487,0.014,0.236,0.195,0.185,0.063,0.037,53.117,-2.171
0.522,0.111,0.079,0.135,0.242,0.021,0.041,51.384,-0.32
0.527,0.085,0.14,0.17,0.206,0.056,0.046,51.979,-0.184
0.501,0.017,0.132,0.278,0.167,0.036,0.023,52.154,-0.194
0.509,0.021,0.165,0.274,0.128,0.064,0.031,53.283,-1.412
0.484,0.425,0.089,0.048,0.184,0.049,0.289,51.448,-0.935
0.52,0.1,0.111,0.205,0.16,0.036,0.045,52.512,-2.121
0.515,0.152,0.09,0.316,0.15,0.036,0.058,52.756,-1.22
