LAT,LONG,feature,slope
53.415,-2.313,indicator_sex_female,-0.5980404007037634
51.51,-0.154,indicator_sex_female,-0.11637424269816084
52.162,0.001,indicator_sex_female,-0.2659798912265756
51.086,1.178,indicator_sex_female,-0.4134931253663513
51.596,-0.143,indicator_sex_female,-0.3660152591407515
53.854,-1.547,indicator_sex_female,-0.7405993673487241
54.835,-1.35,indicator_sex_female,-0.12779675554228043
51.574,0.515,indicator_sex_female,-0.43370538765310085
53.447,-2.278,indicator_sex_female,-0.7262623016178108
51.743,-0.868,indicator_sex_female,-0.5497191254654988
53.988,-1.059,indicator_sex_female,-0.1476964965300004
52.19,0.13,indicator_sex_female,-0.46623065993628876
54.541,-1.262,indicator_sex_female,-0.44850274760025705
51.435,-0.904,indicator_sex_female,-0.5360262176475291
51.456,-0.069,indicator_sex_female,-1.0758305777687074
51.461,-0.176,indicator_sex_female,-0.5781749039051831
53.565,-2.443,indicator_sex_female,0.11426123617916398
52.647,-1.145,indicator_sex_female,-0.6129069260741313
51.403,-0.099,indicator_sex_female,-0.22599282884340785
53.504,-2.274,indicator_sex_female,-0.21211386027281945
51.592,-1.431,indicator_sex_female,-0.6487434283621074
51.545,-0.179,indicator_sex_female,-0.3489192669473868
51.62,-2.981,indicator_sex_female,-0.20626184135311645
51.644,-2.162,indicator_sex_female,-0.40543585823738576
51.754,-0.577,indicator_sex_female,-0.20029589906984124
51.47,-0.012,indicator_sex_female,-0.19275850295798877
53.219,-0.46,indicator_sex_female,-0.36001644431165064
52.47,-1.823,indicator_sex_female,0.06402636783117678
51.445,-0.129,indicator_sex_female,-0.4823857947683256
53.169,-1.499,indicator_sex_female,-0.37531813970243777
52.335,-1.656,indicator_sex_female,-0.30861908417520073
54.309,-2.453,indicator_sex_female,-0.3749497855351409
52.606,0.389,indicator_sex_female,-0.4798802642382112
53.824,-1.552,indicator_sex_female,-0.36523308188811715
51.543,-0.195,indicator_sex_female,-0.2464528017845115
52.558,-3.516,indicator_sex_female,-0.3489514740475536
53.352,-2.091,indicator_sex_female,-0.3265105733586921
53.564,-1.447,indicator_sex_female,-0.2778413763269358
54.002,-1.055,indicator_sex_female,-0.01630204547688681
54.017,-1.438,indicator_sex_female,-0.33395197369944957
51.759,0.092,indicator_sex_female,-0.5709937192668022
53.577,-0.063,indicator_sex_female,-0.19748771612642232
51.581,0.077,indicator_sex_female,-0.1077915603211551
51.135,-2.916,indicator_sex_female,-0.4412472716210696
51.585,-0.409,indicator_sex_female,-0.731052128283557
54.685,-1.225,indicator_sex_female,0.03549716486346289
53.287,-2.119,indicator_sex_female,-0.46101791946071685
50.934,-0.063,indicator_sex_female,-0.23090461841449353
52.041,1.128,indicator_sex_female,-0.14091823382151938
51.433,-0.172,indicator_sex_female,-0.3409571378517915
51.429,-0.071,indicator_sex_female,-0.32482729434516816
52.401,-4.064,indicator_sex_female,-0.4635905209980143
