LAT,LONG,slope
53.415,-2.313,-0.28415456335036876
51.51,-0.154,-0.31032102775946663
52.162,0.001,-0.4860146257865274
51.086,1.178,-0.11579044894734283
51.596,-0.143,-0.26696918434739353
53.854,-1.547,-0.45136537106382
54.835,-1.35,-0.07255785838549293
51.574,0.515,-0.17364683742388942
53.447,-2.278,-0.22526998653491745
51.743,-0.868,-0.4014420794468542
53.988,-1.059,-0.2123216819719434
52.19,0.13,-0.22706163977974042
54.541,-1.262,-0.1392208711655043
51.435,-0.904,-0.22399817876625186
51.456,-0.069,-0.2381517734847325
51.461,-0.176,-0.45875967814281554
53.565,-2.443,-0.12616909200042223
52.647,-1.145,-0.2650460265668332
51.403,-0.099,-0.16675093796178433
53.504,-2.274,-0.2872999935306563
51.592,-1.431,-0.4246954195450885
51.545,-0.179,-0.29371986425137625
51.62,-2.981,-0.6125053362799734
51.644,-2.162,-0.5377384755832921
51.754,-0.577,-0.29240686581069286
51.47,-0.012,-0.2790360586444708
53.219,-0.46,-0.5114793261675668
52.47,-1.823,-0.14539372116056845
51.445,-0.129,-0.24820093106181912
53.169,-1.499,-0.5612531427262628
52.335,-1.656,-0.5287414708923778
54.309,-2.453,-0.5405684971481914
52.606,0.389,-0.30164137272277763
53.824,-1.552,-0.13843860623097076
51.543,-0.195,-0.31029401722897104
52.558,-3.516,-0.39915570904587233
53.352,-2.091,-0.4902301334550782
53.564,-1.447,-0.04620519926472293
54.002,-1.055,-0.3077135602043687
54.017,-1.438,-0.4892425317431438
51.759,0.092,-0.3165065188866865
53.577,-0.063,-0.027437832532617005
51.581,0.077,-0.22696306645506753
51.135,-2.916,-0.5404144313593152
51.585,-0.409,-0.28318689513621037
54.685,-1.225,-0.21098317450558082
53.287,-2.119,-0.2822503331652504
50.934,-0.063,-0.5789545608937882
52.041,1.128,-0.08721826978207667
51.433,-0.172,-0.22473499043466325
51.429,-0.071,-0.2259727631645963
52.401,-4.064,-0.2861669814422911
53.556,-0.661,-0.1807451150795222
51.841,-0.009,-0.3475510364011209
53.196,-0.108,-0.13482345735289825
51.547,-0.236,-0.17431566826170225
52.019,-0.238,-0.4409476618414934
53.758,-1.877,-0.2699391936282589
51.471,0.135,-0.2865678236421314
53.624,-2.159,-0.11601129566038362
51.376,-0.5,-0.16107251184161084
50.96,-2.517,-0.28662197912797555
51.284,-1.407,-0.44565179933186666
52.316,1.157,-0.44994636965852597
52.484,-0.694,-0.17658687378665786
51.284,-0.964,-0.5793518194433793
51.209,-2.646,-0.46718082449180554
51.144,-0.315,-0.5535067447563475
53.474,-2.296,-0.3018177346020404
52.478,-1.918,-0.30677363944917174
53.809,-0.33,-0.12463709145309584
51.489,-2.761,-0.366633837501781
51.611,-0.158,-0.16399800533824407
52.62,-1.079,-0.15863077470307224
51.549,-0.159,-0.2172034262569361
53.712,-1.62,-0.07216742174273644
54.272,-0.937,-0.25788590868965766
54.853,-1.588,-0.05745527708845554
53.457,-2.073,-0.18195367545383626
53.51,-2.45,-0.4781948095962904
52.995,-1.108,-0.3818525461069347
50.849,-0.126,-0.3805539325944569
51.581,0.062,-0.23837124772392287
51.438,0.046,-0.21763354591212564
51.458,-0.205,-0.4411285301923344
51.546,-0.039,-0.13913900509414193
51.266,-0.137,-0.2665742322749409
54.659,-2.77,-0.09094732080437583
51.42,-0.017,-0.1680871431279572
51.611,0.111,-0.13857789347333227
54.975,-1.399,-0.07911363842459805
50.847,-1.776,-0.30015137472619047
51.239,0.558,-0.1757444374832699
51.422,-0.152,-0.3486084345968849
53.325,-2.251,-0.38281144355626745
52.19,-2.234,-0.27978308027620147
52.08,0.573,-0.503801267301029
52.452,-2.086,-0.2053232384775342
54.982,-1.736,-0.0302868131051849
53.546,-2.084,-0.04780307775610852
51.8,1.183,-0.1478748857333724
51.843,0.832,-0.1734989374099852
51.647,-0.266,-0.28084085717630664
52.224,0.144,-0.31687321679324243
51.006,-0.693,-0.6943132652142765
53.572,-1.472,-0.2131853647486902
51.535,0.025,-0.09101120717574034
51.768,0.121,-0.1829945112464739
51.377,-2.395,-0.40485568909574265
55.045,-1.46,-0.3752776351347895
51.439,-0.195,-0.32024678672640516
52.688,-2.758,-0.07273656697906448
53.926,-0.895,-0.2670465794838598
54.569,-1.139,-0.09067152962317947
52.823,-0.16,-0.247174408486875
52.604,-0.258,-0.23185244688296636
51.641,-0.381,-0.3914502153742435
51.335,-0.107,-0.18228403658882167
51.814,-3.022,-0.2838520841419079
52.407,-0.721,-0.14778088619353147
52.657,0.172,-0.14943585780247268
52.516,-2.005,-0.15800819165197338
51.543,-2.421,-0.2786367701222445
51.56,-1.76,-0.1574066025344114
53.717,-1.89,-0.13069631431641285
51.591,-0.281,-0.2531903787104886
53.763,-0.282,-0.06379355034043743
51.434,-0.152,-0.2720786113168555
51.317,-0.587,-0.37198071838742186
51.47,-2.588,-0.2987139304509578
54.567,-2.818,-0.3125579975587725
53.384,-1.487,-0.2566068793371985
53.594,-2.268,-0.047653278775570566
54.563,-1.25,-0.19104811720715117
53.531,-2.534,-0.20929370343964063
51.429,0.087,-0.24642165120047313
