LAT,LONG,slope
53.415,-2.313,-0.8763105767357404
51.51,-0.154,-1.086921725657456
52.162,0.001,-1.5240688698923168
51.086,1.178,-1.0271712191721107
51.596,-0.143,-0.9039925099908612
53.854,-1.547,-0.8282477432043925
54.835,-1.35,-1.5518492773790258
51.574,0.515,-0.8191565610007971
53.447,-2.278,-0.7463118323190203
51.743,-0.868,-1.308802860089893
53.988,-1.059,-1.4652226037305611
52.19,0.13,-1.4359061311468007
54.541,-1.262,-0.948117985512896
51.435,-0.904,-1.0412686545655596
51.456,-0.069,-0.8924981556320698
51.461,-0.176,-0.8724298205019871
53.565,-2.443,-0.8624430396687979
52.647,-1.145,-0.8601496145056936
51.403,-0.099,-0.9949770357839798
53.504,-2.274,-0.9124663828760432
51.592,-1.431,-1.4904217546864693
51.545,-0.179,-1.0211217083599975
51.62,-2.981,-1.7672075836924914
51.644,-2.162,-1.8696410635176017
51.754,-0.577,-1.1215206208919584
51.47,-0.012,-0.9024600601885141
53.219,-0.46,-1.2888012822955373
52.47,-1.823,-0.8268420226733226
51.445,-0.129,-0.8231447608041678
53.169,-1.499,-1.9649203161426025
52.335,-1.656,-1.6659301503523516
54.309,-2.453,-1.9187383400233176
52.606,0.389,-1.4597933098325644
53.824,-1.552,-0.8391120109302891
51.543,-0.195,-1.0846183272819174
52.558,-3.516,-1.9030948720483212
53.352,-2.091,-1.392210980619451
53.564,-1.447,-1.5995703057295425
54.002,-1.055,-1.0386292270463853
54.017,-1.438,-1.695158454831805
51.759,0.092,-0.8353351179591467
53.577,-0.063,-1.3230599419708455
51.581,0.077,-1.0088615705339705
51.135,-2.916,-1.874398777249635
51.585,-0.409,-0.8648206420982293
54.685,-1.225,-1.2665002303408308
53.287,-2.119,-1.3364477900819047
50.934,-0.063,-1.7305024063527057
52.041,1.128,-0.8429399633202418
51.433,-0.172,-0.8555800653512282
51.429,-0.071,-0.7763702994075368
52.401,-4.064,-1.3281872076800927
53.556,-0.661,-1.5828787257775714
51.841,-0.009,-1.7284441366477543
53.196,-0.108,-1.4638739254333915
51.547,-0.236,-0.8850742978399507
52.019,-0.238,-1.3303751583029249
53.758,-1.877,-1.5437976387640582
51.471,0.135,-0.7932298298373276
53.624,-2.159,-0.8661528098244573
51.376,-0.5,-1.3392714846992955
50.96,-2.517,-1.230000916145462
51.284,-1.407,-1.7582320142079322
52.316,1.157,-1.6151806460655993
52.484,-0.694,-1.2329452396108853
51.284,-0.964,-1.4271857252031397
51.209,-2.646,-1.371860358559899
51.144,-0.315,-1.8853015748921125
53.474,-2.296,-0.33798284404455076
52.478,-1.918,-0.18723607130752046
53.809,-0.33,-1.329578880076302
51.489,-2.761,-1.374602218134707
51.611,-0.158,-0.8384599252917371
52.62,-1.079,-0.7230339683389023
51.549,-0.159,-1.1250392453116012
53.712,-1.62,-0.7750340300072018
54.272,-0.937,-2.006532225507258
54.853,-1.588,-1.45939355776872
53.457,-2.073,-1.3750203804361685
53.51,-2.45,-1.5461542154179593
52.995,-1.108,-0.9585108389847122
50.849,-0.126,-1.1786025423595703
51.581,0.062,-1.0622455242259878
51.438,0.046,-0.975240085983889
