LAT,LONG,slope
53.415,-2.313,-0.5980404007037634
51.51,-0.154,-0.11637424269816084
52.162,0.001,-0.2659798912265756
51.086,1.178,-0.4134931253663513
51.596,-0.143,-0.3660152591407515
53.854,-1.547,-0.7405993673487241
54.835,-1.35,-0.12779675554228043
51.574,0.515,-0.43370538765310085
53.447,-2.278,-0.7262623016178108
51.743,-0.868,-0.5497191254654988
53.988,-1.059,-0.1476964965300004
52.19,0.13,-0.46623065993628876
54.541,-1.262,-0.44850274760025705
51.435,-0.904,-0.5360262176475291
51.456,-0.069,-1.0758305777687074
51.461,-0.176,-0.5781749039051831
53.565,-2.443,0.11426123617916398
52.647,-1.145,-0.6129069260741313
51.403,-0.099,-0.22599282884340785
53.504,-2.274,-0.21211386027281945
51.592,-1.431,-0.6487434283621074
51.545,-0.179,-0.3489192669473868
51.62,-2.981,-0.20626184135311645
51.644,-2.162,-0.40543585823738576
51.754,-0.577,-0.20029589906984124
51.47,-0.012,-0.19275850295798877
53.219,-0.46,-0.36001644431165064
52.47,-1.823,0.06402636783117678
51.445,-0.129,-0.4823857947683256
53.169,-1.499,-0.37531813970243777
52.335,-1.656,-0.30861908417520073
54.309,-2.453,-0.3749497855351409
52.606,0.389,-0.4798802642382112
53.824,-1.552,-0.36523308188811715
51.543,-0.195,-0.2464528017845115
52.558,-3.516,-0.3489514740475536
53.352,-2.091,-0.3265105733586921
53.564,-1.447,-0.2778413763269358
54.002,-1.055,-0.01630204547688681
54.017,-1.438,-0.33395197369944957
51.759,0.092,-0.5709937192668022
53.577,-0.063,-0.19748771612642232
51.581,0.077,-0.1077915603211551
51.135,-2.916,-0.4412472716210696
51.585,-0.409,-0.731052128283557
54.685,-1.225,0.03549716486346289
53.287,-2.119,-0.46101791946071685
50.934,-0.063,-0.23090461841449353
52.041,1.128,-0.14091823382151938
51.433,-0.172,-0.3409571378517915
51.429,-0.071,-0.32482729434516816
52.401,-4.064,-0.4635905209980143
53.556,-0.661,-0.4499714721124226
51.841,-0.009,-0.35525930462584737
53.196,-0.108,-0.46685788569777836
51.547,-0.236,0.02403825061808704
52.019,-0.238,-0.7912554027855683
53.758,-1.877,-0.3151296381604235
51.471,0.135,-0.5055922576903685
53.624,-2.159,0.02626373837355832
51.376,-0.5,-0.6344799429456047
50.96,-2.517,-0.5810510321488702
51.284,-1.407,-0.3310069468645364
52.316,1.157,-0.22566029792935186
52.484,-0.694,-0.17525944652367742
51.284,-0.964,-0.46605877130828743
51.209,-2.646,-0.21583153031706787
51.144,-0.315,-0.29695115402521033
53.474,-2.296,0.030393122192771817
52.478,-1.918,0.26750118891468555
53.809,-0.33,-0.00914538368647549
51.489,-2.761,-0.36579561804766525
51.611,-0.158,-0.11476041602830526
52.62,-1.079,-0.14675835626896208
51.549,-0.159,-0.25512825300727954
53.712,-1.62,-0.16885173745776919
54.272,-0.937,-0.3636302252273258
54.853,-1.588,-0.20850273921984921
53.457,-2.073,-0.5502840798044382
53.51,-2.45,-0.11144918364692041
52.995,-1.108,-0.5274499279539389
50.849,-0.126,-0.4315424558880582
51.581,0.062,-0.11217181581456197
51.438,0.046,-0.3304037489308363
51.458,-0.205,-0.6038709409472701
51.546,-0.039,-0.0288744657530906
51.266,-0.137,-0.8111363526973087
54.659,-2.77,-0.4444120892400059
51.42,-0.017,-0.03610604531569839
51.611,0.111,-0.42403162870322464
54.975,-1.399,-0.3193693991179549
50.847,-1.776,-0.3193010399169995
51.239,0.558,-0.440041785862764
51.422,-0.152,-0.3199036017205357
53.325,-2.251,-0.7022553026683019
52.19,-2.234,-0.3473805006608386
52.08,0.573,-0.37912662172001493
52.452,-2.086,-0.40401883474354094
54.982,-1.736,-0.6704949047203257
53.546,-2.084,0.04491211969222364
51.8,1.183,-0.2244389292757561
51.843,0.832,-0.18840885031480006
51.647,-0.266,-0.5233122092461067
52.224,0.144,-0.6217982204175532
51.006,-0.693,-0.2560203197352114
53.572,-1.472,-0.3701855992860074
51.535,0.025,-0.017820898784568037
51.768,0.121,-0.444319481754067
51.377,-2.395,0.05253334584941012
55.045,-1.46,-0.4732903535875965
51.439,-0.195,-0.657649117502807
52.688,-2.758,-0.43799372954349985
53.926,-0.895,-0.3335138689054538
54.569,-1.139,0.10324114572617737
52.823,-0.16,-0.0684188697338334
52.604,-0.258,-0.5747871636474644
51.641,-0.381,-0.4146107062063144
51.335,-0.107,-0.4400087761593035
51.814,-3.022,-0.6340600264808706
52.407,-0.721,-0.44899653621764046
52.657,0.172,-0.4147588289979723
52.516,-2.005,0.056848805207313904
51.543,-2.421,-0.49669360246839667
51.56,-1.76,-0.36689657440798307
53.717,-1.89,-0.016787103158685052
51.591,-0.281,-0.08695976222426813
53.763,-0.282,-0.14856000430765834
51.434,-0.152,-0.6479104944512285
51.317,-0.587,-0.9618646705467128
51.47,-2.588,0.19633788102758803
54.567,-2.818,-0.12474896935414552
53.384,-1.487,0.0035207866472877374
53.594,-2.268,-0.10908010009435025
54.563,-1.25,-0.325964164687787
53.531,-2.534,-0.6374904997636328
51.429,0.087,-0.6527092334536583
51.609,-0.431,-0.2792195587044401
51.645,-0.284,-0.2697376412695643
51.866,0.901,-0.47068066946216597
51.587,-0.222,-0.11036434492357704
53.92,-1.331,-0.5819901181806366
51.373,-0.23,-0.41448338280867253
51.592,-0.028,0.007959331328540797
53.788,-1.783,0.04530958686345127
51.543,0.074,-0.04483685481028743
51.487,-2.52,-0.31466870544834125
51.505,-0.136,0.08329117729641056
50.772,0.268,-0.41294263046134655
51.462,0.087,-0.834097998178184
52.369,-2.052,-0.8576805515953115
51.477,-0.064,-0.19650901793579126
51.517,-1.094,-0.3037286762601208
51.169,0.261,-0.18247912337773078
54.931,-1.561,0.31292849076628787
53.488,-2.098,0.003060425976778703
52.482,-1.923,0.02030873659132478
51.581,0.143,-0.16590358460467902
52.252,-0.861,-0.39834979385204505
51.391,-0.964,-1.1852090694188724
51.725,-2.309,-0.28913135893675723
53.844,-1.533,-0.3771669380459014
51.604,-0.305,-0.1717823666218279
51.451,-0.096,-0.3901572815629158
51.774,-0.135,-0.43185143799694886
51.298,-0.918,-0.6876744719663871
54.982,-1.591,0.2587842025330159
55.006,-1.674,-0.5485658105408433
51.604,-1.815,-0.4091934825023405
53.968,-1.017,-0.5312105186114755
52.285,0.049,-1.0808529860233
52.628,-1.168,-0.36012216384693063
52.643,-1.931,0.04142185005092781
51.881,0.995,-0.4827747374404157
51.344,1.389,-0.021733358745862758
51.77,-0.315,-0.5099916060732278
51.783,0.112,-0.7238566085202256
53.661,-1.447,-0.5024842590954302
52.43,-2.004,0.009435717691021523
51.169,-0.142,-1.0251166383308368
54.99,-1.69,0.04110116651090313
52.751,0.401,-0.4155039006271758
52.484,-2.041,-0.20338293386303033
51.243,-2.448,-0.0920343480327832
51.52,-0.262,-0.24463332863252346
52.601,-0.117,-0.6052709897070381
51.866,0.163,-1.0393398371574878
53.655,-1.828,-0.4977477687285514
54.979,-1.503,-0.37059601199114683
51.555,0.624,-0.15815425091075405
51.207,0.243,-0.4537968426174165
51.785,-1.291,-0.4469224318140113
54.503,-1.351,-0.5156480339864329
51.522,-0.345,-0.3118915281525468
51.44,0.753,-0.03778863528810043
53.898,-1.637,-0.34558651673691937
51.664,-0.888,-0.574656483777063
51.525,-0.061,-0.1994460191911667
52.418,-1.932,-0.6069899175600293
52.197,-0.55,-0.15613882856310132
52.233,0.132,-0.45315023965340456
51.494,-0.214,-0.20278195114746006
51.492,-2.761,-0.3982297321846283
53.61,-2.297,-0.4188088113909125
53.825,-1.608,-0.33175517425750484
51.552,-0.043,-0.44456359642241705
53.658,-1.468,-0.6550346474645913
52.45,-1.786,-0.36865017703712644
52.448,-1.831,-0.011280308249980895
53.542,-2.178,-0.5149148317234425
