LAT,LONG,feature,slope
53.415,-2.313,indicator_sex_female,0.598040400703768
51.51,-0.154,indicator_sex_female,0.11637424269816148
52.162,0.001,indicator_sex_female,0.2659798912265753
51.086,1.178,indicator_sex_female,0.41349312536635324
51.596,-0.143,indicator_sex_female,0.36601525914075206
53.854,-1.547,indicator_sex_female,0.7405993673487246
54.835,-1.35,indicator_sex_female,0.1277967555422784
51.574,0.515,indicator_sex_female,0.4337053876531005
53.447,-2.278,indicator_sex_female,0.726262301617811
51.743,-0.868,indicator_sex_female,0.5497191254654981
53.988,-1.059,indicator_sex_female,0.14769649653000233
52.19,0.13,indicator_sex_female,0.46623065993628876
54.541,-1.262,indicator_sex_female,0.4485027476002542
51.435,-0.904,indicator_sex_female,0.5360262176475333
51.456,-0.069,indicator_sex_female,1.07583057776871
51.461,-0.176,indicator_sex_female,0.5781749039051834
53.565,-2.443,indicator_sex_female,-0.11426123617916686
52.647,-1.145,indicator_sex_female,0.6129069260741296
51.403,-0.099,indicator_sex_female,0.22599282884340682
53.504,-2.274,indicator_sex_female,0.21211386027281703
51.592,-1.431,indicator_sex_female,0.6487434283621071
51.545,-0.179,indicator_sex_female,0.3489192669473843
51.62,-2.981,indicator_sex_female,0.20626184135311404
51.644,-2.162,indicator_sex_female,0.4054358582373856
51.754,-0.577,indicator_sex_female,0.20029589906984335
51.47,-0.012,indicator_sex_female,0.19275850295799044
53.219,-0.46,indicator_sex_female,0.3600164443116507
52.47,-1.823,indicator_sex_female,-0.06402636783117861
51.445,-0.129,indicator_sex_female,0.4823857947683257
53.169,-1.499,indicator_sex_female,0.37531813970243655
52.335,-1.656,indicator_sex_female,0.30861908417520023
54.309,-2.453,indicator_sex_female,0.3749497855351416
52.606,0.389,indicator_sex_female,0.4798802642382115
53.824,-1.552,indicator_sex_female,0.3652330818881142
51.543,-0.195,indicator_sex_female,0.24645280178450932
52.558,-3.516,indicator_sex_female,0.34895147404755444
53.352,-2.091,indicator_sex_female,0.3265105733586916
53.564,-1.447,indicator_sex_female,0.277841376326934
54.002,-1.055,indicator_sex_female,0.016302045476889068
54.017,-1.438,indicator_sex_female,0.33395197369945034
51.759,0.092,indicator_sex_female,0.5709937192668024
53.577,-0.063,indicator_sex_female,0.19748771612642343
51.581,0.077,indicator_sex_female,0.10779156032115625
51.135,-2.916,indicator_sex_female,0.4412472716210694
51.585,-0.409,indicator_sex_female,0.7310521282835594
54.685,-1.225,indicator_sex_female,-0.0354971648634649
53.287,-2.119,indicator_sex_female,0.4610179194607149
50.934,-0.063,indicator_sex_female,0.230904618414494
52.041,1.128,indicator_sex_female,0.1409182338215202
51.433,-0.172,indicator_sex_female,0.34095713785179294
51.429,-0.071,indicator_sex_female,0.3248272943451688
52.401,-4.064,indicator_sex_female,0.46359052099801334
53.556,-0.661,indicator_sex_female,0.4499714721124223
51.841,-0.009,indicator_sex_female,0.35525930462584787
53.196,-0.108,indicator_sex_female,0.4668578856977766
51.547,-0.236,indicator_sex_female,-0.024038250618087138
52.019,-0.238,indicator_sex_female,0.7912554027855652
53.758,-1.877,indicator_sex_female,0.315129638160423
51.471,0.135,indicator_sex_female,0.5055922576903679
