indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.552,0.07,0.114,0.153,0.101,0.065,0.162,53.237,-0.542
0.523,0.112,0.245,0.205,0.213,0.082,0.042,52.047,1.119
0.486,0.134,0.102,0.091,0.106,0.033,0.084,51.906,-2.089
0.518,0.963,0.233,0.124,0.223,0.185,0.111,52.51,-1.898
0.528,0.095,0.224,0.231,0.197,0.091,0.032,53.564,-2.126
0.487,0.051,0.206,0.18,0.18,0.076,0.044,53.421,-2.443
0.505,0.402,0.163,0.101,0.235,0.086,0.065,51.389,-0.193
0.516,0.064,0.108,0.227,0.226,0.037,0.081,51.977,1.178
0.507,0.04,0.116,0.281,0.133,0.059,0.044,54.527,-1.393
0.495,0.26,0.203,0.171,0.203,0.096,0.064,51.508,-2.604
0.503,0.077,0.137,0.268,0.132,0.056,0.032,52.434,-1.407
0.506,0.642,0.176,0.08,0.229,0.11,0.077,51.555,0.022
0.54,0.059,0.215,0.139,0.26,0.074,0.056,51.522,0.567
0.498,0.045,0.26,0.151,0.198,0.179,0.049,54.885,-1.429
0.502,0.074,0.069,0.188,0.203,0.029,0.052,54.018,-1.032
0.495,0.02,0.169,0.362,0.117,0.069,0.035,52.692,-4.019
0.517,0.58,0.155,0.075,0.203,0.132,0.112,51.547,-0.08
0.527,0.064,0.059,0.212,0.23,0.032,0.042,53.36,-1.521
0.506,0.47,0.114,0.057,0.162,0.066,0.06,51.465,-0.126
0.505,0.042,0.144,0.221,0.169,0.036,0.038,51.77,-1.506
0.501,0.393,0.175,0.177,0.169,0.091,0.065,52.59,-2.15
0.499,0.928,0.22,0.056,0.278,0.189,0.114,53.504,-2.238
0.512,0.113,0.123,0.144,0.068,0.075,0.44,54.779,-1.553
0.508,0.066,0.124,0.233,0.185,0.046,0.039,51.883,-0.274
0.5,0.045,0.138,0.241,0.154,0.089,0.031,55.015,-1.569
0.518,0.046,0.171,0.228,0.162,0.065,0.05,51.336,1.398
0.487,0.449,0.125,0.091,0.185,0.063,0.046,51.365,-0.096
0.477,0.099,0.149,0.216,0.133,0.067,0.031,51.456,-2.119
0.504,0.042,0.15,0.131,0.211,0.057,0.031,53.05,-0.796
0.518,0.053,0.068,0.236,0.201,0.021,0.048,51.504,-1.062
0.519,0.037,0.139,0.335,0.151,0.058,0.033,50.836,-1.883
0.492,0.036,0.095,0.186,0.183,0.031,0.045,51.364,-2.125
0.452,0.557,0.197,0.055,0.154,0.131,0.185,51.881,-0.419
0.509,0.011,0.147,0.272,0.162,0.032,0.032,52.485,-3.252
0.484,0.133,0.255,0.112,0.232,0.119,0.041,53.662,-1.496
0.533,0.349,0.045,0.108,0.113,0.056,0.14,51.496,-0.183
0.512,0.131,0.122,0.177,0.215,0.04,0.049,52.407,-1.837
0.495,0.112,0.037,0.158,0.27,0.021,0.05,51.829,-0.383
0.509,0.057,0.144,0.234,0.184,0.041,0.04,53.397,-1.528
0.479,0.27,0.087,0.122,0.122,0.047,0.284,53.64,-1.767
0.493,0.065,0.094,0.219,0.186,0.036,0.067,51.47,-2.127
0.511,0.585,0.174,0.077,0.172,0.101,0.075,51.479,-0.09
0.524,0.008,0.232,0.437,0.109,0.074,0.022,53.16,0.239
0.507,0.357,0.138,0.169,0.179,0.073,0.073,51.618,-0.158
0.513,0.027,0.221,0.316,0.136,0.099,0.038,53.774,-0.421
0.485,0.347,0.193,0.049,0.193,0.061,0.092,52.243,-0.888
