script,op,lineno,raw_target,resolved_type,resolved_path,exists,hint
scripts/00_list_paths.py,read,31,"""w""",relative,scripts/w,False,"\bopen\(\s*([^,]+?)\s*,"
scripts/fig_2_A.py,read,64,"SHP_PATH, encoding=""ISO-8859-1""",unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_2_A.py,read,65,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_2_A.py,read,66,CITY_PATH,unknown,CITY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_2_A.py,write,227,"OUT_PDF, bbox_inches=""tight""",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_2_A.py,write,228,"OUT_SVG, bbox_inches=""tight""",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_2_B.py,read,63,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_2_B.py,write,153,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_2_B.py,write,154,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_left.py,read,56,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_left.py,read,57,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_left.py,read,65,COL_TXT_PATH,unknown,COL_TXT_PATH,,"\bopen\(\s*([^,]+?)\s*,"
scripts/fig_3_A_left.py,write,337,"OUT_PDF, bbox_inches=""tight"", pad_inches=0",unknown,OUT_PDF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_left.py,write,338,"OUT_SVG, bbox_inches=""tight"", pad_inches=0",unknown,OUT_SVG,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_left.py,write,339,"OUT_TIF, dpi=600, format=""tiff""",unknown,OUT_TIF,,\bfig\.savefig\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_right.py,read,30,SHP_PATH,unknown,SHP_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_right.py,read,31,BOUNDARY_PATH,unknown,BOUNDARY_PATH,,\bgpd\.read_file\(\s*([^\)]+?)\s*\)
scripts/fig_3_A_right.py,read,36,COL_TXT_PATH,unknown,COL_TXT_PATH,,"\bopen\(\s*([^,]+?)\s*,"
